"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Jun., 2018"	"2018/06"	14	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Sep., 2018"	"2018/09"	11	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Jan., 2019"	"2019/01"	11	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Feb., 2019"	"2019/02"	13	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Mar., 2019"	"2019/03"	11	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"May, 2019"	"2019/05"	11	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Jun., 2019"	"2019/06"	10	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Jul., 2019"	"2019/07"	11	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Apr., 2020 "	"2020/04"	24	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Jun., 2020 "	"2020/06"	16	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Jul., 2020 "	"2020/07"	16	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Aug., 2020 "	"2020/08"	13	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Sep., 2020 "	"2020/09"	10	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Nov., 2020 "	"2020/11"	13	Not Applicable	Not Applicable
	"St. Martin Parish, LA"	"22099"	"85+ years"	"85+"	"Dec., 2020 "	"2020/12"	21	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Dec., 2011"	"2011/12"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Aug., 2012"	"2012/08"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Mar., 2013"	"2013/03"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"May, 2013"	"2013/05"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Jul., 2013"	"2013/07"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Jul., 2014"	"2014/07"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Oct., 2014"	"2014/10"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Mar., 2015"	"2015/03"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Nov., 2015"	"2015/11"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Dec., 2015"	"2015/12"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Aug., 2016"	"2016/08"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Jan., 2017"	"2017/01"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Jun., 2017"	"2017/06"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Oct., 2017"	"2017/10"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Nov., 2017"	"2017/11"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Mar., 2018"	"2018/03"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Jun., 2018"	"2018/06"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Aug., 2018"	"2018/08"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Oct., 2018"	"2018/10"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Mar., 2019"	"2019/03"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Sep., 2019"	"2019/09"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Jan., 2020 "	"2020/01"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Mar., 2020 "	"2020/03"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Apr., 2020 "	"2020/04"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Aug., 2020 "	"2020/08"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Oct., 2020 "	"2020/10"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Nov., 2020 "	"2020/11"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"55-64 years"	"55-64"	"Dec., 2020 "	"2020/12"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jul., 2010"	"2010/07"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jan., 2011"	"2011/01"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Apr., 2011"	"2011/04"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"May, 2011"	"2011/05"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jul., 2011"	"2011/07"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Aug., 2011"	"2011/08"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Oct., 2011"	"2011/10"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Nov., 2011"	"2011/11"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jan., 2012"	"2012/01"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Feb., 2012"	"2012/02"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jul., 2012"	"2012/07"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Aug., 2012"	"2012/08"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Oct., 2012"	"2012/10"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Dec., 2012"	"2012/12"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Feb., 2013"	"2013/02"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"May, 2013"	"2013/05"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Aug., 2013"	"2013/08"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Nov., 2013"	"2013/11"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jan., 2014"	"2014/01"	17	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jul., 2014"	"2014/07"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Aug., 2014"	"2014/08"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Nov., 2014"	"2014/11"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Dec., 2014"	"2014/12"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Feb., 2015"	"2015/02"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Mar., 2015"	"2015/03"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Apr., 2015"	"2015/04"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"May, 2015"	"2015/05"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jul., 2015"	"2015/07"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Nov., 2015"	"2015/11"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Feb., 2016"	"2016/02"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Mar., 2016"	"2016/03"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"May, 2016"	"2016/05"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jun., 2016"	"2016/06"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jul., 2016"	"2016/07"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Aug., 2016"	"2016/08"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Sep., 2016"	"2016/09"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Nov., 2016"	"2016/11"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Mar., 2017"	"2017/03"	17	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jul., 2017"	"2017/07"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Dec., 2017"	"2017/12"	16	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jan., 2018"	"2018/01"	16	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Feb., 2018"	"2018/02"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"May, 2018"	"2018/05"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jun., 2018"	"2018/06"	16	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Aug., 2018"	"2018/08"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Sep., 2018"	"2018/09"	17	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Oct., 2018"	"2018/10"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Nov., 2018"	"2018/11"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jan., 2019"	"2019/01"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Mar., 2019"	"2019/03"	16	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Apr., 2019"	"2019/04"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"May, 2019"	"2019/05"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jul., 2019"	"2019/07"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Aug., 2019"	"2019/08"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Nov., 2019"	"2019/11"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Mar., 2020 "	"2020/03"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Apr., 2020 "	"2020/04"	19	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"May, 2020 "	"2020/05"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Jul., 2020 "	"2020/07"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Aug., 2020 "	"2020/08"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Oct., 2020 "	"2020/10"	17	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Nov., 2020 "	"2020/11"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"65-74 years"	"65-74"	"Dec., 2020 "	"2020/12"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jan., 2010"	"2010/01"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jul., 2010"	"2010/07"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Aug., 2010"	"2010/08"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Sep., 2010"	"2010/09"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Oct., 2010"	"2010/10"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Dec., 2010"	"2010/12"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Feb., 2011"	"2011/02"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Mar., 2011"	"2011/03"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Apr., 2011"	"2011/04"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"May, 2011"	"2011/05"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jun., 2011"	"2011/06"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jul., 2011"	"2011/07"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Aug., 2011"	"2011/08"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Sep., 2011"	"2011/09"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Oct., 2011"	"2011/10"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jan., 2012"	"2012/01"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Mar., 2012"	"2012/03"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"May, 2012"	"2012/05"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jun., 2012"	"2012/06"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jul., 2012"	"2012/07"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Sep., 2012"	"2012/09"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Oct., 2012"	"2012/10"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Nov., 2012"	"2012/11"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Dec., 2012"	"2012/12"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jan., 2013"	"2013/01"	17	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Mar., 2013"	"2013/03"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Apr., 2013"	"2013/04"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"May, 2013"	"2013/05"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jun., 2013"	"2013/06"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Aug., 2013"	"2013/08"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Sep., 2013"	"2013/09"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Oct., 2013"	"2013/10"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jan., 2014"	"2014/01"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Feb., 2014"	"2014/02"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Apr., 2014"	"2014/04"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"May, 2014"	"2014/05"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jul., 2014"	"2014/07"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Oct., 2014"	"2014/10"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Nov., 2014"	"2014/11"	16	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Dec., 2014"	"2014/12"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jan., 2015"	"2015/01"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Feb., 2015"	"2015/02"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Mar., 2015"	"2015/03"	17	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Apr., 2015"	"2015/04"	16	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"May, 2015"	"2015/05"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jul., 2015"	"2015/07"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Sep., 2015"	"2015/09"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Oct., 2015"	"2015/10"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Nov., 2015"	"2015/11"	22	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Dec., 2015"	"2015/12"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jan., 2016"	"2016/01"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Feb., 2016"	"2016/02"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Mar., 2016"	"2016/03"	20	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Apr., 2016"	"2016/04"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jun., 2016"	"2016/06"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jul., 2016"	"2016/07"	16	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Aug., 2016"	"2016/08"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Sep., 2016"	"2016/09"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Oct., 2016"	"2016/10"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Nov., 2016"	"2016/11"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Dec., 2016"	"2016/12"	16	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jan., 2017"	"2017/01"	18	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Feb., 2017"	"2017/02"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Mar., 2017"	"2017/03"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Apr., 2017"	"2017/04"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jul., 2017"	"2017/07"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Aug., 2017"	"2017/08"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Oct., 2017"	"2017/10"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Nov., 2017"	"2017/11"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Dec., 2017"	"2017/12"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jan., 2018"	"2018/01"	21	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Mar., 2018"	"2018/03"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Apr., 2018"	"2018/04"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"May, 2018"	"2018/05"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jun., 2018"	"2018/06"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Aug., 2018"	"2018/08"	11	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Nov., 2018"	"2018/11"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Dec., 2018"	"2018/12"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jan., 2019"	"2019/01"	21	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Mar., 2019"	"2019/03"	15	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Apr., 2019"	"2019/04"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"May, 2019"	"2019/05"	18	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jun., 2019"	"2019/06"	12	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Jul., 2019"	"2019/07"	13	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Aug., 2019"	"2019/08"	10	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Sep., 2019"	"2019/09"	14	Not Applicable	Not Applicable
	"St. Mary Parish, LA"	"22101"	"75-84 years"	"75-84"	"Oct., 2019"	"2019/10"	16	Not Applicable	Not Applicable
